Time,Jogadora,POS,País,Minutos,Gols,Chutes,Chutes no Alvo,Chutes por 90 Minutos,Chute no Alvo(%),Gols por Chute,Gols por Chute no Alvo,Distância Chutes,npxG,npxG/Chutes
Current,Temwa Chawinga,FW,MWI,2142,20,106,58,4.45,54.7,0.19,0.34,14.0,18.1,0.17
Pride,Barbra Banda,FW,ZAM,1741,13,101,45,5.22,44.6,0.13,0.29,14.6,13.9,0.14
Thorns,Sophia Smith,"FW,MF",USA,1548,12,90,43,5.23,47.8,0.11,0.23,19.8,8.2,0.09
Bay FC,Racheal Kundananji,"FW,MF",ZAM,1824,5,81,29,4.0,35.8,0.06,0.17,16.3,7.9,0.1
Spirit,Trinity Rodman,"FW,MF",USA,1761,8,81,36,4.14,44.4,0.09,0.19,18.3,6.3,0.08
Pride,Adriana,"FW,MF",BRA,1681,6,76,24,4.07,31.6,0.05,0.17,19.5,5.5,0.07
Royals,Ally Sentnor,"MF,FW",USA,1864,3,68,24,3.28,35.3,0.04,0.13,22.4,4.1,0.06
Courage,Ashley Sanchez,MF,USA,2140,5,68,26,2.86,38.2,0.07,0.19,19.8,4.7,0.07
Pride,Marta,"FW,MF",BRA,1734,9,61,20,3.17,32.8,0.11,0.35,21.5,4.0,0.07
Gotham,Rose Lavelle,"MF,FW",USA,1413,7,55,28,3.5,50.9,0.13,0.25,18.7,6.7,0.12
Gotham,Esther González,"FW,MF",ESP,1578,9,53,18,3.02,34.0,0.17,0.5,14.5,6.5,0.12
Angel City,Alyssa Thompson,FW,USA,2144,5,50,17,2.1,34.0,0.1,0.29,14.8,5.8,0.12
Louisville,Savannah Demelo,"MF,FW",USA,1748,5,50,17,2.57,34.0,0.08,0.24,22.4,4.1,0.08
Thorns,Olivia Moultrie,"MF,FW",USA,1569,5,49,16,2.81,32.7,0.08,0.25,19.2,3.7,0.08
Bay FC,Asisat Oshoala,FW,NGA,1867,7,49,11,2.36,22.4,0.1,0.45,15.1,6.1,0.13
Red Stars,Mallory Swanson,"FW,MF",USA,2024,7,49,29,2.18,59.2,0.12,0.21,17.0,5.8,0.12
Gotham,Yazmeen Ryan,"MF,FW",USA,1939,5,47,20,2.18,42.6,0.11,0.25,18.4,4.7,0.1
Spirit,Ouleymata Sarr,FW,FRA,1328,8,45,21,3.05,46.7,0.18,0.38,15.2,8.5,0.19
