,league_,season_,team_,player_,nation_,pos_,age_,born_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast_,xAG_,Expected_xA,Expected_A-xAG,KP_,1/3_,PPA_,CrsPA_,PrgP_,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Att_,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int_,Tkl+Int_,Clr_,Err_,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
0,WUS-Women US A,2024,Angel City,Ali Riley,NZL,DF,36,1987,2.9,0,2,0,0.0,0.69,0.0,0.0,,14.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,WUS-Women US A,2024,NZL,DF,36,1987,2.9,107,144,74.3,1810,617,49,65,75.4,52,63,82.5,5,12,41.7,0,0.0,0.0,0.0,0,7,0,0,8,WUS-Women US A,2024,NZL,DF,36,1987,2.9,144,93,51,3,0,0,3,48,0,0,0,0,107,0,4,WUS-Women US A,2024,NZL,DF,36,1987,2.9,4,1.38,1,1,0,1,1,0,2,0.69,1,0,0,1,0,0,WUS-Women US A,2024,NZL,DF,36,1987,2.9,2,2,1,1,0,0,3,0.0,3,1,1,0,4,6,5,0,WUS-Women US A,2024,NZL,DF,36,1987,2.9,162,3,47,75,41,3,162,1,0,0.0,1,100.0,68,335,196,6,1,2,3,1,84,4,WUS-Women US A,2024,NZL,DF,36,1987,2.9,0,0,0,2,3,0,3,4,2,0,0,0,3,1,2,33.3,WUS-Women US A,2024,NZL,DF,36,1987,5,260,52,11.1,2.9,3,79,0,2,12,5,0.8,3,6,-3,-1.04,-0.61,4.5,6.0,-1.5,-0.51,-0.27
1,WUS-Women US A,2024,Angel City,Alyssa Thompson,USA,FW,19,2004,23.8,5,50,17,34.0,2.1,0.71,0.1,0.29,14.8,0,0,0,5.8,5.8,0.12,-0.8,-0.8,WUS-Women US A,2024,USA,FW,19,2004,23.8,497,686,72.4,7249,2054,291,356,81.7,175,235,74.5,18,40,45.0,7,4.7,4.3,2.3,34,39,28,8,64,WUS-Women US A,2024,USA,FW,19,2004,23.8,686,666,18,2,6,0,37,14,2,0,1,0,497,2,36,WUS-Women US A,2024,USA,FW,19,2004,23.8,75,3.15,56,0,8,5,5,1,11,0.46,8,0,1,0,2,0,WUS-Women US A,2024,USA,FW,19,2004,23.8,45,33,22,15,8,14,41,34.1,27,33,4,29,14,59,12,0,WUS-Women US A,2024,USA,FW,19,2004,23.8,972,23,153,385,446,119,972,78,31,39.7,43,55.1,597,4369,2185,89,33,62,51,41,601,166,WUS-Women US A,2024,USA,FW,19,2004,23.8,2,0,0,19,30,9,37,14,33,1,0,0,136,2,15,11.8,WUS-Women US A,2024,USA,FW,19,2004,26,2144,82,91.6,23.8,24,87,16,2,28,0,1.04,28,34,-6,-0.25,2.96,30.8,35.9,-5.1,-0.21,0.59
2,WUS-Women US A,2024,Angel City,Amandine Henry,FRA,MF,34,1989,2.9,0,5,2,40.0,1.71,0.68,0.0,0.0,13.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,WUS-Women US A,2024,FRA,MF,34,1989,2.9,94,136,69.1,1773,638,36,52,69.2,45,57,78.9,12,20,60.0,0,0.1,0.5,-0.1,1,21,2,0,22,WUS-Women US A,2024,FRA,MF,34,1989,2.9,136,132,4,3,0,2,2,1,0,0,0,0,94,0,4,WUS-Women US A,2024,FRA,MF,34,1989,2.9,8,2.74,6,0,0,1,0,1,1,0.34,1,0,0,0,0,0,WUS-Women US A,2024,FRA,MF,34,1989,2.9,7,6,3,3,1,3,5,60.0,2,3,0,3,7,14,3,0,WUS-Women US A,2024,FRA,MF,34,1989,2.9,170,3,33,107,31,11,170,2,1,50.0,1,50.0,86,442,157,4,1,0,4,4,97,5,WUS-Women US A,2024,FRA,MF,34,1989,2.9,1,0,0,4,3,1,2,7,6,0,0,0,13,12,1,92.3,WUS-Women US A,2024,FRA,MF,34,1989,4,263,66,11.2,2.9,3,81,2,1,19,0,1.0,2,5,-3,-1.03,-0.59,4.6,3.6,1.0,0.35,0.69
3,WUS-Women US A,2024,Angel City,Angelina Anderson,USA,GK,22,2001,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,WUS-Women US A,2024,USA,GK,22,2001,3.0,160,183,87.4,3542,2419,36,36,100.0,94,99,94.9,30,47,63.8,0,0.0,0.0,0.0,0,0,0,0,0,WUS-Women US A,2024,USA,GK,22,2001,3.0,183,155,28,7,0,0,0,0,0,0,0,0,160,0,0,WUS-Women US A,2024,USA,GK,22,2001,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,USA,GK,22,2001,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,WUS-Women US A,2024,USA,GK,22,2001,3.0,185,96,183,2,0,0,185,0,0,,0,,142,752,495,0,0,0,0,0,122,0,WUS-Women US A,2024,USA,GK,22,2001,3.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,WUS-Women US A,2024,USA,GK,22,2001,3,270,90,11.5,3.0,3,90,3,0,,23,0.33,3,6,-3,-1.0,-0.57,4.9,4.1,0.8,0.27,0.61
4,WUS-Women US A,2024,Angel City,Christen Press,USA,FW,35,1988,2.3,1,9,2,22.2,3.99,0.89,0.11,0.5,17.8,0,0,0,0.5,0.5,0.06,0.5,0.5,WUS-Women US A,2024,USA,FW,35,1988,2.3,55,77,71.4,946,320,25,33,75.8,23,29,79.3,6,10,60.0,0,0.1,0.1,-0.1,2,2,2,0,11,WUS-Women US A,2024,USA,FW,35,1988,2.3,77,74,3,0,0,0,3,1,1,0,0,0,55,0,3,WUS-Women US A,2024,USA,FW,35,1988,2.3,6,2.67,3,0,2,1,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,USA,FW,35,1988,2.3,5,4,1,2,2,2,5,40.0,3,6,0,6,2,7,0,0,WUS-Women US A,2024,USA,FW,35,1988,2.3,116,0,8,51,59,18,116,10,5,50.0,5,50.0,73,276,107,4,3,4,6,8,80,22,WUS-Women US A,2024,USA,FW,35,1988,2.3,0,0,0,3,0,2,3,2,4,0,0,0,12,1,4,20.0,WUS-Women US A,2024,USA,FW,35,1988,9,203,23,8.7,2.3,1,63,0,8,18,1,1.22,3,6,-3,-1.33,-0.91,3.2,3.9,-0.7,-0.31,-0.06
5,WUS-Women US A,2024,Angel City,Claire Emslie,SCO,FW,29,1994,21.8,7,33,18,54.5,1.52,0.83,0.12,0.22,19.5,6,3,4,7.7,4.5,0.14,-0.7,-0.5,WUS-Women US A,2024,SCO,FW,29,1994,21.8,444,753,59.0,7443,2491,242,309,78.3,145,221,65.6,48,154,31.2,2,3.7,4.3,-1.7,43,38,28,15,66,WUS-Women US A,2024,SCO,FW,29,1994,21.8,753,621,130,32,3,2,181,8,87,45,23,2,444,2,42,WUS-Women US A,2024,SCO,FW,29,1994,21.8,69,3.17,40,23,2,4,0,0,4,0.18,1,1,1,1,0,0,WUS-Women US A,2024,SCO,FW,29,1994,21.8,32,19,12,14,6,12,24,50.0,12,21,2,19,5,37,19,0,WUS-Women US A,2024,SCO,FW,29,1994,21.8,1033,17,140,372,546,66,1029,71,22,31.0,43,60.6,592,3605,1698,63,32,24,58,44,639,152,WUS-Women US A,2024,SCO,FW,29,1994,21.8,3,0,0,25,21,6,181,5,19,0,0,0,110,10,13,43.5,WUS-Women US A,2024,SCO,FW,29,1994,26,1960,75,83.8,21.8,24,79,11,2,30,0,1.04,24,31,-7,-0.32,1.1,29.4,31.1,-1.7,-0.08,1.14
6,WUS-Women US A,2024,Angel City,Clarisse Le Bihan,FRA,MF,29,1994,5.4,1,6,1,16.7,1.1,0.18,0.17,1.0,23.7,0,0,0,0.3,0.3,0.05,0.7,0.7,WUS-Women US A,2024,FRA,MF,29,1994,5.4,168,241,69.7,2491,803,91,115,79.1,52,80,65.0,13,20,65.0,0,1.2,1.0,-1.2,13,15,7,2,30,WUS-Women US A,2024,FRA,MF,29,1994,5.4,241,221,17,3,1,1,21,3,3,0,3,0,168,3,6,WUS-Women US A,2024,FRA,MF,29,1994,5.4,22,4.04,16,4,0,1,0,1,1,0.18,1,0,0,0,0,0,WUS-Women US A,2024,FRA,MF,29,1994,5.4,17,9,8,6,3,6,11,54.5,5,4,1,3,5,22,9,0,WUS-Women US A,2024,FRA,MF,29,1994,5.4,306,13,59,130,121,14,306,7,4,57.1,3,42.9,173,1000,398,10,8,4,12,10,198,24,WUS-Women US A,2024,FRA,MF,29,1994,5.4,2,0,0,7,8,0,21,5,9,0,0,0,33,15,6,71.4,WUS-Women US A,2024,FRA,MF,29,1994,10,489,49,20.9,5.4,6,73,1,4,12,5,1.1,4,8,-4,-0.74,-0.3,6.3,9.0,-2.7,-0.5,-0.3
7,WUS-Women US A,2024,Angel City,DiDi Haracic,BIH,GK,31,1992,23.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,WUS-Women US A,2024,BIH,GK,31,1992,23.0,885,1056,83.8,20059,12829,203,204,99.5,501,522,96.0,181,327,55.4,0,0.0,0.0,0.0,0,4,0,0,0,WUS-Women US A,2024,BIH,GK,31,1992,23.0,1056,790,265,74,0,1,0,0,0,0,0,0,885,1,1,WUS-Women US A,2024,BIH,GK,31,1992,23.0,4,0.17,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,WUS-Women US A,2024,BIH,GK,31,1992,23.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,2,WUS-Women US A,2024,BIH,GK,31,1992,23.0,1104,778,1093,11,0,0,1104,0,0,,0,,634,2721,1508,0,0,0,0,0,595,0,WUS-Women US A,2024,BIH,GK,31,1992,23.0,2,0,0,1,5,0,0,0,0,0,1,0,44,5,1,83.3,WUS-Women US A,2024,BIH,GK,31,1992,23,2070,90,88.5,23.0,23,90,23,0,,3,1.13,26,36,-10,-0.43,0.57,29.5,37.2,-7.7,-0.33,-0.61
8,WUS-Women US A,2024,Angel City,Elizabeth Eddy,USA,"DF,MF",32,1991,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,18,25,72.0,266,124,10,10,100.0,7,11,63.6,0,2,0.0,0,0.2,0.0,-0.2,1,0,0,0,2,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,25,21,4,1,0,0,2,3,0,0,0,0,18,0,0,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,1,2.81,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,1,1,0,1,0,1,2,50.0,1,1,0,1,1,2,0,0,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,31,1,16,8,8,0,31,1,0,0.0,1,100.0,16,88,33,0,1,0,1,0,16,4,WUS-Women US A,2024,USA,"DF,MF",32,1991,0.4,0,0,0,0,0,0,2,1,1,0,0,0,9,0,1,0.0,WUS-Women US A,2024,USA,"DF,MF",32,1991,3,32,11,1.4,0.4,0,,0,3,11,12,0.33,1,2,-1,-2.81,-2.34,0.4,1.8,-1.4,-3.99,-3.78
9,WUS-Women US A,2024,Angel City,Gisele Thompson,USA,"DF,FW",18,2005,9.8,0,6,2,33.3,0.61,0.2,0.0,0.0,18.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,417,485,86.0,5700,2062,261,290,90.0,139,153,90.8,7,15,46.7,1,1.6,1.2,-0.6,15,24,7,1,35,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,485,390,95,3,0,0,11,92,0,0,0,0,417,0,10,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,30,3.06,24,0,2,0,4,0,4,0.41,1,0,1,0,2,0,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,37,26,20,8,9,13,19,68.4,6,14,2,12,16,53,24,0,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,615,33,183,240,200,29,615,27,15,55.6,11,40.7,315,2035,1095,33,19,11,20,9,331,56,WUS-Women US A,2024,USA,"DF,FW",18,2005,9.8,1,0,0,9,11,0,11,16,26,1,0,0,51,1,6,14.3,WUS-Women US A,2024,USA,"DF,FW",18,2005,15,882,59,37.7,9.8,10,77,2,5,23,2,0.87,7,19,-12,-1.22,-1.16,10.6,18.7,-8.1,-0.83,-0.91
